0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,2.7924,2.7763,1.6991,3.8156,1.7464,1
,,,,,,,1.3888,3.2167,2.9236,0.77291,0.64145,1
,,,,,,,2.6424,1.5187,2.5318,2.4328,1.8768,1
,,,,,,,1.5375,0.99942,3.6593,0.61825,3.2658,1
,,,,,,,2.1786,1.314,1.0632,1.0269,2.1884,1
,,,,,,,0.56106,3.9129,0.032726,3.1984,0.16543,1
,,,,,,,2.6526,0.98103,2.9115,0.93501,1.1192,1
,,,,,,,1.8804,1.5709,3.2389,1.4798,0.21096,1
,,,,,,,1.7539,0.10591,1.5064,1.2697,1.4063,1
,,,,,,,3.1174,3.1018,1.2786,3.5428,0.56144,1
,,,,,,,0.43705,1.7777,3.5733,0.11173,1.4393,1
,,,,,,,2.779,0.46762,1.8706,2.5207,0.8086,1
,,,,,,,0.2424,3.9883,3.6882,0.92935,1.165,1
,,,,,,,2.3269,2.716,2.6892,2.8519,2.9988,1
,,,,,,,1.4967,1.7685,0.49874,0.30355,3.1599,1
,,,,,,,1.4364,0.61094,1.8226,3.8813,3.9766,1
,,,,,,,2.8697,1.2453,1.3487,1.6165,3.5076,1
,,,,,,,2.7916,2.1356,3.2201,3.3227,0.82683,1
,,,,,,,3.1798,1.7262,2.1047,1.1434,0.84116,1
,,,,,,,2.3398,3.5655,0.39046,0.059999,3.7705,1
,,,,,,,1.8202,0.6096,1.8182,2.3042,2.6676,1
,,,,,,,0.75551,2.0321,3.8474,0.23025,0.35925,1
,,,,,,,0.66252,2.9013,1.789,2.4179,1.9561,1
,,,,,,,3.5097,2.9096,0.63456,2.4687,0.61783,1
,,,,,,,1.7118,3.2271,2.3329,3.1309,3.5021,1
,,,,,,,1.6483,2.7682,3.8183,2.1801,3.5393,1
,,,,,,,2.0015,2.1682,3.3888,1.896,2.6371,1
,,,,,,,2.2193,0.52615,0.34503,1.3269,0.108,1
,,,,,,,1.7048,1.7822,3.4297,1.1219,3.8322,1
,,,,,,,3.1747,1.9664,3.7708,3.4014,2.5838,1
,,,,,,,1.6728,2.7955,3.9652,0.84533,0.36002,1
,,,,,,,0.87717,2.1096,3.2422,0.54076,1.128,1
,,,,,,,2.604,0.90331,0.99191,2.2511,3.0678,1
,,,,,,,3.7233,1.905,1.0653,2.7478,0.78361,1
,,,,,,,0.80061,0.17432,0.42199,1.4506,0.099718,1
,,,,,,,3.1758,3.254,1.1586,2.7477,0.52696,1
,,,,,,,1.5635,0.79929,0.64534,1.3783,1.396,1
,,,,,,,2.0074,2.0926,2.9388,3.3166,2.7581,1
,,,,,,,3.6534,2.9136,1.7709,2.6437,0.38243,1
,,,,,,,1.622,0.23299,2.9661,1.4213,1.9969,1
,,,,,,,2.5587,1.6841,3.9967,0.32646,0.5279,1
,,,,,,,1.6025,0.31833,3.2988,2.4027,2.5074,1
,,,,,,,0.71857,2.0541,2.3075,3.5888,2.1754,1
,,,,,,,3.4655,2.2639,1.9705,3.8118,2.4152,1
,,,,,,,3.5568,1.1746,0.93473,1.7238,3.2182,1
,,,,,,,2.0364,3.4743,0.61492,3.6869,2.0896,1
,,,,,,,0.91336,2.9447,2.8726,2.2409,0.40419,1
,,,,,,,3.7098,2.6536,2.4023,3.7417,2.7136,1
,,,,,,,0.80293,3.8481,2.0566,0.0020328,3.2742,1
,,,,,,,2.6865,3.5515,3.3662,1.7295,1.5041,1
,,,,,,,1.8813,3.7137,1.1347,2.4208,0.00028812,1
,,,,,,,3.37,2.8508,2.0039,3.1607,0.065141,1
,,,,,,,0.10182,0.33318,0.42747,3.8933,1.0381,1
,,,,,,,1.8055,1.0176,1.3117,3.3875,3.7711,1
,,,,,,,1.6756,1.3923,2.6269,3.9909,1.6034,1
,,,,,,,0.18771,3.5863,3.5071,2.5892,0.59978,1
,,,,,,,3.7039,2.8757,3.0484,0.62586,1.2199,1
,,,,,,,3.8529,1.0436,3.2474,0.11098,0.66276,1
,,,,,,,0.94643,0.5129,1.9133,3.7896,1.4966,1
,,,,,,,1.4893,3.0367,1.1393,0.41676,2.6569,1
,,,,,,,2.638,3.2192,1.8138,2.2445,2.9266,1
,,,,,,,1.2234,1.056,1.1494,3.0613,0.53988,1
,,,,,,,3.7257,3.1999,1.4295,2.1587,0.99371,1
,,,,,,,0.75167,1.7181,2.4524,1.8878,3.9055,1
,,,,,,,2.8496,3.5526,1.6581,2.8303,2.8154,1
,,,,,,,0.41523,3.1138,3.6855,1.1011,1.7104,1
,,,,,,,1.2493,1.0594,1.2843,1.8794,0.57524,1
,,,,,,,3.1595,0.83655,3.004,3.4581,1.8342,1
,,,,,,,0.57788,1.5039,0.82159,2.3533,2.401,1
,,,,,,,1.2585,3.1969,1.2146,3.9469,3.0166,1
,,,,,,,3.0654,0.97142,1.0746,3.7626,0.74496,1
,,,,,,,1.1984,3.1155,2.7726,3.7889,3.2919,1
,,,,,,,2.5499,1.1153,0.6674,2.2681,0.91538,1
,,,,,,,2.9072,2.0713,2.1262,0.04891,3.6237,1
,,,,,,,2.8421,1.0558,0.80523,1.2485,3.8141,1
,,,,,,,2.6599,2.4752,0.62868,3.4911,2.0061,1
,,,,,,,1.3779,1.6636,3.0278,0.6686,1.3285,1
,,,,,,,2.9896,1.2738,3.659,3.4575,0.77808,1
,,,,,,,3.1143,1.202,0.87903,2.6431,0.31646,1
,,,,,,,2.7085,1.8533,0.67479,0.43691,0.65455,1
,,,,,,,0.74029,3.2895,3.1967,3.8952,2.5314,1
,,,,,,,1.2202,1.7972,2.4456,0.81745,3.0335,1
,,,,,,,1.2559,3.831,3.094,2.1711,1.9443,1
,,,,,,,3.993,1.7938,2.2156,0.076306,1.0697,1
,,,,,,,3.1432,0.27676,1.1745,2.3149,2.4861,1
,,,,,,,2.8019,0.76457,2.3624,1.7432,3.3599,1
,,,,,,,3.3367,2.2286,0.65483,0.76714,0.79289,1
,,,,,,,1.4626,3.7883,1.4857,3.722,3.1479,1
,,,,,,,3.3188,2.4601,3.6079,3.2307,2.1536,1
,,,,,,,3.0667,3.2548,1.6418,2.6698,2.0361,1
,,,,,,,2.589,2.2583,3.3204,1.2039,2.2279,1
,,,,,,,0.1236,2.1514,3.8937,0.2277,1.2761,1
,,,,,,,3.9982,0.036046,2.2442,0.2807,1.6452,1
,,,,,,,3.1073,1.1551,2.7353,2.6878,3.6178,1
,,,,,,,1.3098,2.6199,2.1831,2.1808,3.4653,1
,,,,,,,0.17114,3.4872,2.9964,1.94,3.6901,1
,,,,,,,1.8479,2.8517,2.5734,2.2571,2.2549,1
,,,,,,,2.2914,2.9362,0.58359,3.2352,0.7453,1
,,,,,,,2.1089,3.0154,3.3521,3.182,2.7064,1
,,,,,,,1.0212,0.25044,0.52051,0.44882,1.4292,1
,,,,,,,3.2387,3.1137,2.7462,2.0043,0.72072,1
,,,,,,,3.0198,0.066529,3.7612,0.27906,1.6539,1
,,,,,,,2.8333,1.398,1.8214,3.4677,3.2038,1
,,,,,,,3.2841,2.6716,0.44554,3.5151,1.0051,1
,,,,,,,1.3322,2.3303,0.24645,3.5647,2.66,1
,,,,,,,1.9543,3.1745,3.1048,2.548,0.70786,1
,,,,,,,3.924,0.32049,0.010856,2.8033,1.7283,1
,,,,,,,3.7799,0.30355,2.4271,1.5903,0.38328,1
,,,,,,,0.61008,1.9975,1.4276,3.12,1.2038,1
,,,,,,,3.9786,0.69975,1.5784,1.1161,2.8788,1
,,,,,,,2.508,0.35339,1.5864,0.50708,1.5342,1
,,,,,,,0.32833,0.84905,1.6774,3.4395,1.7536,1
,,,,,,,1.7832,2.2095,3.3082,3.9582,0.036368,1
,,,,,,,1.2242,0.35481,2.9042,2.6171,0.69012,1
,,,,,,,1.7948,0.30449,3.6209,0.2002,0.3328,1
,,,,,,,1.0895,3.7596,3.1305,3.3136,2.6205,1
,,,,,,,0.95528,2.0324,1.3076,3.6787,1.7396,1
,,,,,,,3.8272,3.9334,0.80663,0.34292,2.5699,1
,,,,,,,3.361,2.8765,2.62,3.7049,2.0717,1
,,,,,,,3.5285,2.8526,0.43563,3.5514,0.52649,1
,,,,,,,3.7069,1.1757,3.5439,0.97066,1.7172,1
,,,,,,,3.8131,3.7802,2.3492,1.5993,3.9738,1
,,,,,,,0.25009,1.623,3.1251,0.41704,1.5226,1
,,,,,,,3.6311,0.39783,2.3865,3.8253,3.3558,1
,,,,,,,3.4743,0.16091,0.69797,0.69952,0.19476,1
,,,,,,,0.044204,1.5804,0.32185,2.0367,0.7192,1
,,,,,,,0.96381,2.3914,3.315,1.6917,2.8128,1
,,,,,,,3.7199,0.044035,0.61388,2.5377,1.1914,1
,,,,,,,1.8407,1.2018,0.24594,2.1873,1.693,1
,,,,,,,1.791,1.39,2.3595,0.51638,2.1351,1
,,,,,,,0.28613,2.7528,1.8622,1.9807,3.0865,1
,,,,,,,2.0116,1.3472,1.8495,2.0014,0.95206,1
,,,,,,,1.5231,0.50731,3.6373,1.7101,2.5024,1
,,,,,,,1.3966,2.1321,0.63775,2.415,2.872,1
,,,,,,,0.026287,3.617,3.1759,0.35043,0.87548,1
,,,,,,,3.079,1.1309,2.6909,0.86163,1.9571,1
,,,,,,,3.883,2.1104,3.676,1.4494,3.5436,1
,,,,,,,1.4622,3.1792,2.247,0.92072,3.9983,1
,,,,,,,1.7393,1.2182,0.80556,0.56096,3.1462,1
,,,,,,,3.4836,0.058339,1.0204,2.8716,0.65132,1
,,,,,,,0.36247,2.9799,2.4888,1.1361,2.5077,1
,,,,,,,3.835,1.1393,1.5041,2.2694,1.3056,1
,,,,,,,2.0955,3.712,1.4358,0.40585,2.3981,1
,,,,,,,1.3109,0.023141,0.1146,3.7836,2.9944,1
,,,,,,,1.964,1.8873,3.0695,1.4594,3.4501,1
,,,,,,,2.8366,0.55094,0.94954,2.5403,0.24611,1
,,,,,,,0.76376,1.1428,2.6637,3.8637,2.4292,1
,,,,,,,2.2499,2.1526,2.994,2.1373,1.6603,1
,,,,,,,2.4707,1.35,2.9138,0.13058,1.6563,1
,,,,,,,0.60833,3.2548,3.2572,1.3361,1.4921,1
,,,,,,,3.8103,2.0932,2.9603,0.33556,0.97042,1
,,,,,,,0.83978,0.74444,2.5781,3.1521,2.0305,1
,,,,,,,3.5055,3.5218,0.39601,1.6115,3.9122,1
,,,,,,,0.92971,0.22246,3.9976,0.52119,1.8315,1
,,,,,,,1.8347,2.15,1.6724,2.8345,3.9052,1
,,,,,,,3.6189,2.5259,0.30392,2.6462,0.1743,1
,,,,,,,2.3459,3.5219,2.965,1.1151,2.2086,1
,,,,,,,0.15927,3.0166,3.9988,1.9741,3.5015,1
,,,,,,,1.1096,1.496,2.1959,2.9675,1.1979,1
,,,,,,,1.0055,3.3875,2.3726,1.8767,0.25178,1
,,,,,,,0.85944,1.9742,0.61765,3.5491,2.376,1
