0,1,2,3,4,5,6,7,8
,,,,0.2245,0.101,0.15,15.0,1.0
,,,,0.0995,0.0485,0.07,7.0,1.0
,,,,0.2565,0.1415,0.21,9.0,3.0
,,,,0.2155,0.114,0.155,10.0,1.0
,,,,0.0895,0.0395,0.055,7.0,2.0
,,,,0.141,0.0775,0.12,8.0,2.0
,,,,0.237,0.1415,0.33,20.0,3.0
,,,,0.294,0.1495,0.26,16.0,3.0
,,,,0.2165,0.1125,0.165,9.0,1.0
,,,,0.3145,0.151,0.32,19.0,3.0
,,,,0.194,0.1475,0.21,14.0,3.0
,,,,0.1675,0.081,0.135,10.0,1.0
,,,,0.2175,0.095,0.19,11.0,1.0
,,,,0.2725,0.171,0.205,10.0,3.0
,,,,0.1675,0.0805,0.185,10.0,3.0
,,,,0.258,0.133,0.24,12.0,1.0
,,,,0.095,0.0395,0.115,7.0,2.0
,,,,0.188,0.087,0.13,10.0,3.0
,,,,0.097,0.043,0.1,7.0,1.0
,,,,0.1705,0.075,0.115,9.0,1.0
,,,,0.0955,0.062,0.075,11.0,1.0
,,,,0.08,0.049,0.085,10.0,2.0
,,,,0.4275,0.214,0.27,12.0,3.0
,,,,0.318,0.21,0.2,9.0,3.0
,,,,0.513,0.301,0.305,10.0,3.0
,,,,0.3825,0.188,0.3,11.0,3.0
,,,,0.3945,0.272,0.285,11.0,3.0
,,,,0.356,0.234,0.28,12.0,1.0
,,,,0.394,0.219,0.295,15.0,1.0
,,,,0.393,0.227,0.2,11.0,1.0
,,,,0.3935,0.242,0.33,10.0,1.0
,,,,0.6055,0.2805,0.46,15.0,3.0
,,,,0.5515,0.3575,0.35,18.0,1.0
,,,,0.815,0.3925,0.455,19.0,3.0
,,,,0.633,0.4115,0.49,13.0,3.0
,,,,0.227,0.124,0.125,8.0,1.0
,,,,0.5305,0.3075,0.34,16.0,3.0
,,,,0.237,0.1165,0.145,8.0,3.0
,,,,0.381,0.2035,0.26,11.0,3.0
,,,,0.134,0.086,0.09,9.0,1.0
,,,,0.1865,0.091,0.115,9.0,3.0
,,,,0.362,0.196,0.27,14.0,3.0
,,,,0.0315,0.0235,0.02,5.0,2.0
,,,,0.0255,0.015,0.012,5.0,2.0
,,,,0.0175,0.0125,0.015,4.0,2.0
,,,,0.0875,0.045,0.075,7.0,2.0
,,,,0.293,0.227,0.14,9.0,1.0
,,,,0.1775,0.11,0.15,7.0,3.0
,,,,0.0755,0.0255,0.045,6.0,2.0
,,,,0.3545,0.2135,0.245,9.0,3.0
,,,,0.2385,0.111,0.19,8.0,2.0
,,,,0.1335,0.06,0.1,7.0,1.0
,,,,0.2595,0.096,0.16,10.0,1.0
,,,,0.2105,0.1055,0.15,10.0,3.0
,,,,0.173,0.0915,0.11,7.0,1.0
,,,,0.2565,0.1755,0.22,8.0,3.0
,,,,0.192,0.0955,0.135,8.0,1.0
,,,,0.2765,0.12,0.17,8.0,1.0
,,,,0.042,0.014,0.025,4.0,2.0
,,,,0.246,0.13,0.175,7.0,3.0
,,,,0.18,0.1125,0.135,7.0,1.0
,,,,0.305,0.16,0.175,9.0,1.0
,,,,0.302,0.1935,0.2,10.0,3.0
,,,,0.1705,0.08,0.1,7.0,1.0
,,,,0.234,0.1315,0.185,8.0,1.0
,,,,0.234,0.1015,0.135,8.0,1.0
,,,,0.354,0.1935,0.32,12.0,3.0
,,,,0.416,0.224,0.485,13.0,3.0
,,,,0.2135,0.1155,0.17,10.0,3.0
,,,,0.063,0.0405,0.045,6.0,2.0
,,,,0.264,0.168,0.275,13.0,1.0
,,,,0.1405,0.0985,0.1,8.0,3.0
,,,,0.48,0.225,0.425,20.0,3.0
,,,,0.474,0.261,0.38,11.0,1.0
,,,,0.481,0.2895,0.315,13.0,3.0
,,,,0.4425,0.221,0.28,15.0,3.0
,,,,0.3625,0.189,0.315,9.0,1.0
,,,,0.363,0.194,0.305,10.0,3.0
,,,,0.282,0.1595,0.285,11.0,3.0
,,,,0.4695,0.2355,0.345,14.0,3.0
,,,,0.3845,0.252,0.285,9.0,3.0
,,,,0.5105,0.192,0.675,12.0,1.0
,,,,0.396,0.225,0.32,16.0,3.0
,,,,0.408,0.234,0.58,21.0,1.0
,,,,0.38,0.216,0.36,14.0,1.0
,,,,0.339,0.2225,0.44,12.0,3.0
,,,,0.4825,0.205,0.4,13.0,1.0
,,,,0.3305,0.2075,0.26,10.0,1.0
