0,1,2,3,4,5,6,7,8,9,10,11,12
0.11388,0.042485,1.9789,1.8363,2.8866,2.4696,0.21541,3.09,0.78343,0.51035,0.03043,0.10066,1.0
0.029389,0.20658,0.48861,1.4343,3.1299,1.2778,1.4285,0.14333,1.1948,2.1318,0.98473,3.8445,1.0
,,,1.3371,,,,,,,2.4389,0.63358,
-0.53916,-0.061874,0.36486,0.33278,0.19027,0.56716,1.6601,2.3527,0.66126,3.1351,3.9381,3.7346,1.0
-0.2684,-1.006,2.8822,1.5616,3.2014,3.3774,1.5226,0.98475,3.1094,3.6564,3.9172,0.94706,1.0
-0.11839,1.1503,1.3694,0.95738,1.8672,1.1526,0.41832,1.5935,1.3655,1.4445,2.4768,0.30222,1.0
-0.2824,0.1975,2.2652,1.9451,1.1166,3.6353,2.3584,3.2271,1.8964,3.6442,3.7933,2.6902,1.0
0.35992,-0.43689,2.618,2.8004,0.17888,0.45284,0.58528,1.2073,0.40095,0.47649,1.495,0.33731,1.0
0.71273,-0.12502,2.61,0.54908,3.1502,2.4554,1.5063,1.9585,0.24073,0.13931,0.91026,0.24867,1.0
,,,3.3059,,,,,,,2.2727,2.7807,
0.21282,0.085363,1.2044,3.7202,3.1027,2.0325,2.8015,1.7999,0.28349,3.723,2.2403,0.0082358,1.0
0.59539,0.098228,0.34186,3.3149,3.3498,2.1555,0.97174,3.333,3.5312,2.36,1.1244,0.62743,1.0
0.65044,-0.18575,2.5337,1.9398,1.3777,0.2086,2.9685,2.7067,1.5754,0.22579,3.4888,1.0982,1.0
0.30516,-0.83875,1.0657,2.6391,0.76477,1.7483,1.3066,0.34652,1.7602,3.5286,3.3825,1.2609,1.0
1.0976,-0.39017,3.577,1.8256,1.5138,0.87492,1.4798,3.9229,1.4029,3.3981,2.5919,2.8561,1.0
-0.13908,-0.47664,1.2011,1.6738,1.0253,3.6734,1.9712,2.2657,0.1294,2.275,2.8947,2.2871,1.0
0.19141,0.039315,2.8602,0.13719,0.085853,2.7658,0.80247,0.83072,2.9023,1.8423,1.067,2.0608,1.0
-0.25031,0.085591,1.3214,3.7074,1.1731,0.4637,1.1503,0.38243,1.414,0.27042,0.48796,2.3093,1.0
