0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,0.21541,3.09,0.78343,0.51035,0.03043,0.10066,1
,,,,,,1.4285,0.14333,1.1948,2.1318,0.98473,3.8445,1
,,,,,,3.9963,2.2173,3.9029,1.5144,2.4389,0.63358,1
,,,,,,1.6601,2.3527,0.66126,3.1351,3.9381,3.7346,1
,,,,,,1.5226,0.98475,3.1094,3.6564,3.9172,0.94706,1
,,,,,,0.41832,1.5935,1.3655,1.4445,2.4768,0.30222,1
,,,,,,2.3584,3.2271,1.8964,3.6442,3.7933,2.6902,1
,,,,,,0.58528,1.2073,0.40095,0.47649,1.495,0.33731,1
,,,,,,1.5063,1.9585,0.24073,0.13931,0.91026,0.24867,1
,,,,,,3.7454,3.1251,3.4469,3.618,2.2727,2.7807,1
,,,,,,2.8015,1.7999,0.28349,3.723,2.2403,0.0082358,1
,,,,,,0.97174,3.333,3.5312,2.36,1.1244,0.62743,1
,,,,,,2.9685,2.7067,1.5754,0.22579,3.4888,1.0982,1
,,,,,,1.3066,0.34652,1.7602,3.5286,3.3825,1.2609,1
,,,,,,1.4798,3.9229,1.4029,3.3981,2.5919,2.8561,1
,,,,,,1.9712,2.2657,0.1294,2.275,2.8947,2.2871,1
,,,,,,0.80247,0.83072,2.9023,1.8423,1.067,2.0608,1
,,,,,,1.1503,0.38243,1.414,0.27042,0.48796,2.3093,1
,,,,,,1.1704,0.25009,2.5642,1.5329,0.60341,0.019771,1
,,,,,,1.7194,0.10313,3.0864,2.9616,2.6716,1.4089,1
,,,,,,1.9125,1.3365,2.7083,2.0893,1.3462,2.1789,1
,,,,,,3.7277,2.2272,1.9435,1.987,2.4707,0.36826,1
,,,,,,3.3449,3.3838,3.2485,3.3208,3.1013,1.0893,1
,,,,,,1.1599,2.507,0.30399,0.067105,2.9317,2.3629,1
,,,,,,3.8323,2.3995,0.11333,1.0562,2.9451,0.018509,1
,,,,,,2.8922,0.84254,1.734,0.5676,0.2396,0.123,1
,,,,,,3.4592,1.0157,0.57391,0.13188,0.9082,1.5068,1
,,,,,,2.093,2.6079,3.2321,1.1573,1.8651,0.66206,1
,,,,,,0.21107,1.3157,0.007019,3.5755,3.5958,1.2249,1
,,,,,,3.8401,2.0927,0.38489,0.65242,2.177,1.0799,1
,,,,,,2.6888,0.49887,1.6867,3.9559,0.22855,1.2288,1
,,,,,,0.26187,1.8108,0.94046,0.52521,3.178,2.3361,1
,,,,,,3.9165,3.9704,3.8252,1.8692,3.0994,2.1541,1
,,,,,,1.1794,1.5969,1.4859,1.4806,2.0361,3.1627,1
