0,1,2,3,4,5
4.92,7.29,3.67,3.71,2.71,7.83
22.5,19.41,16.13,16.08,16.58,19.67
7.54,9.29,11.0,1.71,9.71,15.37
6.29,6.75,8.25,8.46,10.29,15.46
10.34,11.29,9.38,8.71,8.42,11.12
10.63,11.38,5.71,6.54,5.17,6.38
4.71,5.09,5.21,2.88,4.46,10.17
9.54,9.13,7.54,5.25,7.62,8.46
4.79,4.63,3.42,3.33,1.83,3.88
9.0,8.0,8.04,10.54,10.37,16.79
17.5,14.92,12.62,14.92,13.5,19.67
11.08,10.37,9.46,7.41,8.38,13.29
5.88,4.08,6.21,3.04,5.37,8.33
7.79,4.21,9.46,9.0,10.58,17.96
9.75,10.25,7.29,11.21,8.92,23.13
15.0,32.71,9.59,21.87,14.04,13.25
10.83,14.46,7.96,13.04,7.87,8.71
16.62,20.54,12.96,19.83,15.5,19.41
9.29,9.04,9.5,6.92,7.54,6.5
13.13,8.83,9.96,4.33,2.46,2.62
9.29,11.54,2.21,10.41,5.17,7.92
27.79,19.83,20.46,19.75,20.08,26.5
21.96,18.75,16.5,22.42,17.58,22.25
21.84,20.25,18.79,18.75,17.75,23.16
18.91,26.92,15.63,26.87,14.29,27.25
13.0,19.21,11.12,13.88,9.33,15.75
9.21,14.12,5.91,7.67,6.34,12.42
14.83,16.42,14.33,13.54,11.0,16.5
18.21,11.42,17.88,16.42,11.38,17.79
29.04,15.63,26.04,17.83,14.62,13.83
19.29,17.67,19.29,22.5,14.33,17.41
6.87,6.54,4.5,8.29,6.0,13.04
1.0,6.46,5.25,2.79,7.12,11.54
13.33,12.96,15.79,13.67,12.92,23.71
8.04,6.13,4.12,5.46,5.17,5.71
3.08,6.38,4.42,5.88,4.92,6.54
9.83,9.17,10.29,14.25,11.25,20.3
8.21,8.71,10.58,11.25,7.08,10.92
14.17,13.59,10.79,10.5,11.08,13.7
10.0,10.96,9.29,7.41,9.62,11.92
10.46,9.67,10.34,8.04,7.41,11.42
12.67,9.71,10.75,7.54,8.67,15.67
9.59,8.25,10.08,6.25,8.96,12.38
5.13,10.79,2.13,2.5,2.71,7.75
8.96,10.46,9.59,8.5,12.5,16.75
18.25,11.75,20.79,20.75,14.58,29.17
5.13,5.88,6.75,8.38,4.92,8.79
7.17,3.58,3.54,7.41,7.21,13.13
12.83,5.79,9.38,4.71,3.63,8.58
17.33,13.88,14.04,10.13,10.79,17.5
13.17,11.25,9.92,4.17,8.58,16.17
23.29,21.59,21.12,23.67,16.71,23.42
17.16,15.09,10.63,14.0,13.7,23.0
12.67,17.75,7.75,7.79,2.96,7.87
18.75,18.29,16.17,16.75,11.92,19.58
7.67,7.17,0.92,8.38,4.79,8.29
11.87,13.13,11.71,10.37,5.66,11.75
18.91,16.54,18.0,12.83,16.42,23.54
12.38,13.88,14.21,13.54,12.38,23.09
14.25,9.25,12.33,12.42,12.08,16.25
7.41,8.0,8.87,6.83,8.96,17.92
11.12,11.79,13.13,16.0,16.0,24.79
14.09,15.12,14.54,13.42,15.67,13.7
5.37,10.13,6.67,12.12,10.46,15.63
19.83,22.34,17.41,18.75,19.17,21.0
14.0,15.37,15.04,11.67,14.46,19.55
10.21,8.17,10.46,12.83,10.88,15.59
17.79,13.0,17.75,19.33,18.12,24.21
8.21,10.04,3.42,5.13,2.67,4.92
8.96,21.92,8.79,9.79,7.79,4.96
,8.96,6.38,,,2.25
7.08,6.58,10.37,7.79,8.83,10.25
15.96,14.75,13.75,14.67,12.96,10.67
5.21,5.79,4.0,4.29,4.54,8.54
18.84,13.25,16.83,14.67,13.88,20.67
12.75,8.63,14.04,8.71,5.66,11.29
32.96,26.67,23.75,19.83,17.25,33.87
25.12,20.71,21.21,22.5,15.34,8.92
22.21,20.46,16.58,17.29,18.54,21.59
13.88,12.12,14.33,18.29,15.37,14.09
11.25,8.71,9.17,2.71,3.0,3.63
19.04,15.34,15.21,11.12,15.0,16.54
12.54,18.54,10.54,12.96,10.92,21.37
21.34,17.79,17.67,13.79,17.96,19.12
16.66,16.0,12.58,10.67,10.08,17.25
16.88,25.8,19.41,22.54,18.63,32.88
13.79,10.63,12.17,7.58,9.46,14.92
17.12,17.58,12.62,10.71,12.08,14.46
7.71,4.83,6.58,4.75,5.83,11.58
22.37,20.88,21.17,19.7,18.12,22.37
10.96,10.83,9.46,7.54,8.5,9.33
