0,1,2,3,4,5
,,,3.71,2.71,7.83
,,,16.08,16.58,19.67
,,,1.71,9.71,15.37
,,,8.46,10.29,15.46
,,,8.71,8.42,11.12
,,,6.54,5.17,6.38
,,,2.88,4.46,10.17
,,,5.25,7.62,8.46
,,,3.33,1.83,3.88
,,,10.54,10.37,16.79
,,,14.92,13.5,19.67
,,,7.41,8.38,13.29
,,,3.04,5.37,8.33
,,,9.0,10.58,17.96
,,,11.21,8.92,23.13
,,,21.87,14.04,13.25
,,,13.04,7.87,8.71
,,,19.83,15.5,19.41
,,,6.92,7.54,6.5
,,,4.33,2.46,2.62
,,,10.41,5.17,7.92
,,,19.75,20.08,26.5
,,,22.42,17.58,22.25
,,,18.75,17.75,23.16
,,,26.87,14.29,27.25
,,,13.88,9.33,15.75
,,,7.67,6.34,12.42
,,,13.54,11.0,16.5
,,,16.42,11.38,17.79
,,,17.83,14.62,13.83
,,,22.5,14.33,17.41
,,,8.29,6.0,13.04
,,,2.79,7.12,11.54
,,,13.67,12.92,23.71
,,,5.46,5.17,5.71
,,,5.88,4.92,6.54
,,,14.25,11.25,20.3
,,,11.25,7.08,10.92
,,,10.5,11.08,13.7
,,,7.41,9.62,11.92
,,,8.04,7.41,11.42
,,,7.54,8.67,15.67
,,,6.25,8.96,12.38
,,,2.5,2.71,7.75
,,,8.5,12.5,16.75
,,,20.75,14.58,29.17
,,,8.38,4.92,8.79
,,,7.41,7.21,13.13
,,,4.71,3.63,8.58
,,,10.13,10.79,17.5
,,,4.17,8.58,16.17
,,,23.67,16.71,23.42
,,,14.0,13.7,23.0
,,,7.79,2.96,7.87
,,,16.75,11.92,19.58
,,,8.38,4.79,8.29
,,,10.37,5.66,11.75
,,,12.83,16.42,23.54
,,,13.54,12.38,23.09
,,,12.42,12.08,16.25
,,,6.83,8.96,17.92
,,,16.0,16.0,24.79
,,,13.42,15.67,13.7
,,,12.12,10.46,15.63
,,,18.75,19.17,21.0
,,,11.67,14.46,19.55
,,,12.83,10.88,15.59
,,,19.33,18.12,24.21
,,,5.13,2.67,4.92
,,,9.79,7.79,4.96
,,,2.62,3.04,2.25
,,,7.79,8.83,10.25
,,,14.67,12.96,10.67
,,,4.29,4.54,8.54
,,,14.67,13.88,20.67
,,,8.71,5.66,11.29
,,,19.83,17.25,33.87
,,,22.5,15.34,8.92
,,,17.29,18.54,21.59
,,,18.29,15.37,14.09
,,,2.71,3.0,3.63
,,,11.12,15.0,16.54
,,,12.96,10.92,21.37
,,,13.79,17.96,19.12
,,,10.67,10.08,17.25
,,,22.54,18.63,32.88
,,,7.58,9.46,14.92
,,,10.71,12.08,14.46
,,,4.75,5.83,11.58
,,,19.7,18.12,22.37
,,,7.54,8.5,9.33
,,,4.29,5.25,12.54
,,,8.04,9.59,9.83
,,,8.71,8.5,13.17
,,,9.13,8.79,13.42
,,,1.75,4.04,9.79
,,,9.25,10.21,14.96
,,,10.21,9.96,17.5
,,,10.79,7.83,17.75
,,,5.58,3.08,7.83
,,,5.66,2.75,12.08
,,,6.0,5.58,12.42
,,,21.04,16.33,28.04
,,,5.88,3.54,10.0
,,,8.38,11.75,25.41
,,,19.55,15.75,23.75
,,,20.38,20.41,28.67
,,,6.92,8.79,18.46
,,,5.88,6.34,12.92
,,,13.46,15.25,15.71
,,,5.17,5.41,9.25
,,,5.41,6.21,12.46
,,,6.54,8.63,12.87
,,,7.75,5.83,8.25
,,,11.29,12.42,19.38
,,,3.96,3.21,8.63
,,,7.29,8.58,20.83
,,,4.29,5.63,12.87
,,,3.0,2.21,8.42
,,,10.08,9.17,18.96
,,,9.38,9.17,11.75
,,,11.0,8.96,17.21
,,,17.92,16.96,19.58
,,,12.5,15.09,19.08
,,,12.29,8.54,10.29
,,,4.75,3.46,6.96
,,,13.75,11.08,16.71
,,,11.63,10.54,17.62
,,,12.42,13.0,18.41
,,,7.21,4.38,7.12
,,,7.87,8.75,15.96
,,,7.38,6.17,6.04
,,,15.04,13.21,20.12
,,,12.08,9.54,10.92
,,,1.46,3.0,10.63
,,,10.71,10.88,16.71
,,,3.21,3.67,5.21
,,,6.38,8.0,12.21
,,,3.96,4.17,11.63
,,,18.21,15.96,26.92
,,,2.0,2.75,7.83
,,,5.63,5.5,10.25
,,,8.5,5.79,12.96
,,,14.79,14.21,25.96
,,,5.46,3.79,13.25
,,,13.79,8.79,13.42
,,,6.75,4.71,13.59
,,,21.87,23.83,40.41
,,,2.92,4.08,10.0
,,,9.67,6.87,12.33
,,,11.0,8.83,12.46
,,,17.04,12.0,19.12
,,,18.16,11.38,27.84
,,,6.96,5.88,9.29
,,,18.54,16.38,31.13
,,,7.08,7.04,11.42
,,,7.38,6.13,8.54
,,,4.79,3.08,7.54
,,,4.96,5.37,11.92
,,,1.79,2.37,4.67
,,,3.04,3.04,5.54
,,,12.17,10.46,23.16
,,,4.88,2.21,6.71
,,,3.79,8.79,12.29
,,,4.71,3.13,9.04
,,,3.96,4.42,12.46
,,,11.75,12.58,16.08
,,,9.33,11.63,15.29
,,,15.34,15.92,20.83
,,,10.67,7.71,20.91
,,,14.58,12.46,32.5
,,,17.88,12.08,22.71
,,,12.25,7.29,26.5
,,,12.83,7.75,19.87
,,,10.58,10.58,22.75
,,,4.42,1.96,10.92
,,,10.0,10.0,21.54
,,,22.04,18.66,23.16
,,,12.29,9.5,20.0
,,,1.75,1.38,17.04
,,,5.54,6.87,12.67
,,,10.75,9.54,16.21
,,,21.09,17.71,26.83
,,,4.0,8.87,14.83
,,,13.67,16.62,22.79
,,,6.58,9.08,17.58
,,,4.63,3.92,11.21
,,,11.08,7.25,19.0
,,,1.87,2.04,7.71
,,,9.38,7.0,13.59
,,,5.37,5.66,7.46
,,,2.42,3.75,8.5
,,,5.96,3.08,9.13
,,,13.33,8.63,12.12
,,,13.42,15.09,23.79
,,,8.0,8.12,13.88
,,,4.46,1.87,7.87
,,,9.87,11.0,21.25
,,,8.67,7.46,15.0
,,,11.63,13.88,19.5
,,,9.25,7.0,20.33
,,,7.83,4.67,22.75
,,,8.5,6.34,16.71
,,,9.67,7.67,20.12
,,,11.21,6.92,7.5
,,,16.17,15.71,30.71
,,,5.46,2.21,10.21
,,,5.04,10.83,18.54
,,,6.87,4.42,4.08
,,,5.46,7.17,11.29
,,,5.17,3.79,12.0
,,,9.38,8.92,16.83
,,,12.38,8.38,20.5
,,,3.71,3.75,7.62
,,,8.42,4.5,13.17
,,,9.59,13.62,16.83
,,,10.08,10.08,18.46
