0,1,2,3,4,5,6,7,8,9
,,,,,0.06,8.75,0.0,0.0,1
,,,,,0.48,7.83,0.0,0.0,1
,,,,,0.39,7.78,0.0,0.0,1
,,,,,0.57,8.22,0.0,0.0,1
,,,,,0.55,8.07,0.0,0.0,1
,,,,,0.64,8.07,0.0,0.26,1
,,,,,0.58,8.17,0.0,0.0,1
,,,,,0.57,8.24,0.0,0.0,1
,,,,,0.56,8.3,0.0,0.0,1
,,,,,0.57,8.4,0.0,0.11,1
,,,,,0.67,8.09,0.0,0.24,1
,,,,,0.6,8.56,0.0,0.0,1
,,,,,0.69,8.05,0.0,0.24,1
,,,,,0.54,8.38,0.0,0.17,1
,,,,,0.58,8.5,0.0,0.0,1
,,,,,0.58,8.39,0.0,0.0,1
,,,,,0.61,8.7,0.0,0.0,1
,,,,,0.15,9.15,0.0,0.0,1
,,,,,0.06,8.89,0.0,0.0,1
,,,,,0.54,8.44,0.0,0.07,1
,,,,,0.54,8.52,0.0,0.19,1
,,,,,0.03,9.0,0.0,0.0,1
,,,,,0.59,8.7,0.0,0.0,1
,,,,,0.62,8.59,0.0,0.0,1
,,,,,0.5,8.43,0.0,0.0,1
,,,,,0.65,8.53,0.0,0.0,1
,,,,,0.59,8.43,0.0,0.0,1
,,,,,0.56,8.43,0.0,0.0,1
,,,,,0.57,8.54,0.0,0.0,1
,,,,,0.6,8.49,0.0,0.0,1
,,,,,0.61,8.69,0.0,0.14,1
,,,,,0.56,8.55,0.0,0.0,1
,,,,,0.61,8.56,0.09,0.22,1
,,,,,0.6,8.55,0.0,0.06,1
,,,,,0.57,8.75,0.0,0.0,1
,,,,,0.56,8.57,0.0,0.0,1
,,,,,0.51,8.78,0.11,0.0,1
,,,,,0.64,8.68,0.0,0.0,1
,,,,,0.11,9.57,0.0,0.0,1
,,,,,0.11,9.57,0.0,0.0,1
,,,,,0.64,8.77,0.0,0.0,1
,,,,,0.59,8.64,0.0,0.0,1
,,,,,0.59,8.59,0.0,0.0,1
,,,,,0.17,9.74,0.0,0.0,1
,,,,,0.62,8.76,0.0,0.3,1
,,,,,0.55,9.0,0.0,0.0,1
,,,,,0.57,8.83,0.0,0.16,1
,,,,,0.02,9.82,0.0,0.1,1
,,,,,0.13,10.02,0.0,0.0,1
,,,,,0.59,8.91,0.0,0.0,1
,,,,,0.09,10.06,0.0,0.16,1
,,,,,0.6,9.14,0.0,0.11,1
,,,,,0.55,9.03,0.0,0.0,1
,,,,,0.55,9.07,0.0,0.0,1
,,,,,0.51,9.02,0.0,0.09,1
,,,,,0.56,9.06,0.0,0.24,1
,,,,,0.62,8.35,0.0,0.31,1
,,,,,0.6,8.43,0.0,0.0,1
,,,,,0.59,8.03,0.0,0.0,1
,,,,,0.57,8.27,0.0,0.11,1
,,,,,0.14,8.76,0.0,0.0,1
,,,,,0.12,8.67,0.69,0.0,1
,,,,,0.23,9.54,0.0,0.11,1
,,,,,0.0,9.69,0.0,0.0,1
,,,,,0.18,9.61,0.0,0.07,1
,,,,,0.09,9.4,0.0,0.0,1
,,,,,0.19,9.85,0.0,0.17,1
,,,,,0.19,9.85,0.0,0.17,1
,,,,,0.23,9.82,0.0,0.16,1
,,,,,0.12,10.17,0.0,0.03,1
,,,,,0.16,7.36,0.0,0.12,2
,,,,,0.54,8.32,0.0,0.32,2
,,,,,0.67,7.83,0.0,0.0,2
,,,,,0.61,7.89,0.0,0.0,2
,,,,,0.72,7.9,0.0,0.0,2
,,,,,0.69,7.96,0.0,0.0,2
,,,,,0.66,8.03,0.0,0.0,2
,,,,,0.61,8.04,0.0,0.0,2
,,,,,0.37,7.94,0.0,0.14,2
,,,,,0.69,7.97,0.0,0.0,2
,,,,,0.69,7.97,0.0,0.0,2
,,,,,0.61,7.86,0.0,0.0,2
,,,,,0.68,8.1,0.0,0.0,2
,,,,,0.68,8.05,0.0,0.09,2
,,,,,1.1,7.08,0.0,0.0,2
,,,,,0.45,8.21,0.0,0.0,2
,,,,,0.38,8.03,0.0,0.0,2
,,,,,0.67,8.08,0.0,0.1,2
,,,,,0.6,8.12,0.0,0.0,2
,,,,,0.63,8.08,0.0,0.09,2
,,,,,0.64,8.96,0.0,0.22,2
,,,,,0.44,8.27,0.0,0.0,2
,,,,,0.07,8.39,0.0,0.19,2
,,,,,0.39,8.22,0.0,0.0,2
,,,,,0.67,8.24,0.0,0.0,2
,,,,,0.51,8.6,0.0,0.0,2
,,,,,0.64,9.13,0.0,0.15,2
,,,,,0.62,8.9,0.0,0.24,2
,,,,,0.73,8.54,0.0,0.0,2
,,,,,0.6,8.79,0.14,0.0,2
,,,,,0.57,8.79,0.11,0.22,2
,,,,,0.7,9.23,0.0,0.0,2
,,,,,0.35,9.42,0.0,0.2,2
,,,,,0.08,11.64,0.0,0.0,2
,,,,,0.08,10.79,0.0,0.0,2
,,,,,0.81,13.24,0.0,0.34,2
,,,,,0.58,13.3,3.15,0.28,2
,,,,,0.12,16.19,0.0,0.24,2
,,,,,0.1,11.52,0.0,0.08,2
,,,,,0.0,10.99,0.0,0.0,2
1.52664,11.23,0.0,0.77,73.21,,,,,2
1.52739,11.02,0.0,0.75,73.08,,,,,2
1.52777,12.64,0.0,0.67,72.02,,,,,2
1.51892,13.46,3.83,1.26,72.55,,,,,2
1.51847,13.1,3.97,1.19,72.44,,,,,2
1.51846,13.41,3.89,1.33,72.38,,,,,2
1.51829,13.24,3.9,1.41,72.33,,,,,2
1.51708,13.72,3.68,1.81,72.06,,,,,2
1.51673,13.3,3.64,1.53,72.53,,,,,2
1.51652,13.56,3.57,1.47,72.45,,,,,2
1.51844,13.25,3.76,1.32,72.4,,,,,2
1.51663,12.93,3.54,1.62,72.96,,,,,2
1.51687,13.23,3.54,1.48,72.84,,,,,2
1.51707,13.48,3.48,1.71,72.52,,,,,2
1.52177,13.2,3.68,1.15,72.75,,,,,2
1.51872,12.93,3.66,1.56,72.51,,,,,2
1.51667,12.94,3.61,1.26,72.75,,,,,2
1.52081,13.78,2.28,1.43,71.99,,,,,2
1.52068,13.55,2.09,1.67,72.18,,,,,2
1.5202,13.98,1.35,1.63,71.76,,,,,2
1.52177,13.75,1.01,1.36,72.19,,,,,2
1.52614,13.7,0.0,1.36,71.24,,,,,2
1.51813,13.43,3.98,1.18,72.49,,,,,2
1.518,13.71,3.93,1.54,71.81,,,,,2
1.51811,13.33,3.85,1.25,72.78,,,,,2
1.51789,13.19,3.9,1.3,72.33,,,,,2
1.51806,13.0,3.8,1.08,73.07,,,,,2
1.51711,12.89,3.62,1.57,72.96,,,,,2
1.51674,12.79,3.52,1.54,73.36,,,,,2
1.51674,12.87,3.56,1.64,73.14,,,,,2
1.5169,13.33,3.54,1.61,72.54,,,,,2
1.51851,13.2,3.63,1.07,72.83,,,,,2
1.51662,12.85,3.51,1.44,73.01,,,,,2
1.51709,13.0,3.47,1.79,72.72,,,,,2
1.5166,12.99,3.18,1.23,72.97,,,,,2
1.51839,12.85,3.67,1.24,72.57,,,,,2
1.51769,13.65,3.66,1.11,72.77,,,,,3
1.5161,13.33,3.53,1.34,72.67,,,,,3
1.5167,13.24,3.57,1.38,72.7,,,,,3
1.51643,12.16,3.52,1.35,72.89,,,,,3
1.51665,13.14,3.45,1.76,72.48,,,,,3
1.52127,14.32,3.9,0.83,71.5,,,,,3
1.51779,13.64,3.65,0.65,73.0,,,,,3
1.5161,13.42,3.4,1.22,72.69,,,,,3
1.51694,12.86,3.58,1.31,72.61,,,,,3
1.51646,13.04,3.4,1.26,73.01,,,,,3
1.51655,13.41,3.39,1.28,72.64,,,,,3
1.52121,14.03,3.76,0.58,71.79,,,,,3
1.51776,13.53,3.41,1.52,72.04,,,,,3
1.51796,13.5,3.36,1.63,71.94,,,,,3
1.51832,13.33,3.34,1.54,72.14,,,,,3
1.51934,13.64,3.54,0.75,72.65,,,,,3
1.52211,14.19,3.78,0.91,71.36,,,,,3
1.51514,14.01,2.68,3.5,69.89,,,,,5
1.51915,12.73,1.85,1.86,72.69,,,,,5
1.52171,11.56,1.88,1.56,72.86,,,,,5
1.52151,11.03,1.71,1.56,73.44,,,,,5
1.51969,12.64,0.0,1.65,73.75,,,,,5
1.51666,12.86,0.0,1.83,73.88,,,,,5
1.51994,13.27,0.0,1.76,73.03,,,,,5
1.52369,13.44,0.0,1.58,72.22,,,,,5
1.51316,13.02,0.0,3.04,70.48,,,,,5
1.51321,13.0,0.0,3.02,70.7,,,,,5
1.52043,13.38,0.0,1.4,72.25,,,,,5
1.52058,12.85,1.61,2.17,72.18,,,,,5
1.52119,12.97,0.33,1.51,73.39,,,,,5
1.51905,14.0,2.39,1.56,72.37,,,,,6
1.51937,13.79,2.41,1.19,72.76,,,,,6
1.51829,14.46,2.24,1.62,72.38,,,,,6
1.51852,14.09,2.19,1.66,72.67,,,,,6
1.51299,14.4,1.74,1.54,74.55,,,,,6
1.51888,14.99,0.78,1.74,72.5,,,,,6
1.51916,14.15,0.0,2.09,72.74,,,,,6
1.51969,14.56,0.0,0.56,73.48,,,,,6
1.51115,17.38,0.0,0.34,75.41,,,,,6
1.51131,13.69,3.2,1.81,72.81,,,,,7
1.51838,14.32,3.26,2.22,71.25,,,,,7
1.52315,13.44,3.34,1.23,72.38,,,,,7
1.52247,14.86,2.2,2.06,70.26,,,,,7
1.52365,15.79,1.83,1.31,70.43,,,,,7
1.51613,13.88,1.78,1.79,73.1,,,,,7
1.51602,14.85,0.0,2.38,73.28,,,,,7
1.51623,14.2,0.0,2.79,73.46,,,,,7
1.51719,14.75,0.0,2.0,73.02,,,,,7
1.51683,14.56,0.0,1.98,73.29,,,,,7
1.51545,14.14,0.0,2.68,73.39,,,,,7
1.51556,13.87,0.0,2.54,73.23,,,,,7
1.51727,14.7,0.0,2.34,73.28,,,,,7
1.51531,14.38,0.0,2.66,73.1,,,,,7
1.51609,15.01,0.0,2.51,73.05,,,,,7
1.51508,15.15,0.0,2.25,73.5,,,,,7
1.51653,11.95,0.0,1.19,75.18,,,,,7
1.51514,14.85,0.0,2.42,73.72,,,,,7
1.51658,14.8,0.0,1.99,73.11,,,,,7
1.51617,14.95,0.0,2.27,73.3,,,,,7
1.51732,14.95,0.0,1.8,72.99,,,,,7
1.51645,14.94,0.0,1.87,73.11,,,,,7
1.51831,14.39,0.0,1.82,72.86,,,,,7
1.5164,14.37,0.0,2.74,72.85,,,,,7
1.51623,14.14,0.0,2.88,72.61,,,,,7
1.51685,14.92,0.0,1.99,73.06,,,,,7
1.52065,14.36,0.0,2.02,73.42,,,,,7
1.51651,14.38,0.0,1.94,73.61,,,,,7
1.51711,14.23,0.0,2.08,73.36,,,,,7
