0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,,,0.28,2.29,5.64,1.04,3.92,1065.0,1
,,,,,,,0.26,1.28,4.38,1.05,3.4,1050.0,1
,,,,,,,0.3,2.81,5.68,1.03,3.17,1185.0,1
,,,,,,,0.24,2.18,7.8,0.86,3.45,1480.0,1
,,,,,,,0.39,1.82,4.32,1.04,2.93,735.0,1
,,,,,,,0.34,1.97,6.75,1.05,2.85,1450.0,1
,,,,,,,0.3,1.98,5.25,1.02,3.58,1290.0,1
,,,,,,,0.31,1.25,5.05,1.06,3.58,1295.0,1
,,,,,,,0.29,1.98,5.2,1.08,2.85,1045.0,1
,,,,,,,0.22,1.85,7.22,1.01,3.55,1045.0,1
,,,,,,,0.22,2.38,5.75,1.25,3.17,1510.0,1
,,,,,,,0.26,1.57,5.0,1.17,2.82,1280.0,1
,,,,,,,0.29,1.81,5.6,1.15,2.9,1320.0,1
,,,,,,,0.43,2.81,5.4,1.25,2.73,1150.0,1
,,,,,,,0.29,2.96,7.5,1.2,3.0,1547.0,1
,,,,,,,0.3,1.46,7.3,1.28,2.88,1310.0,1
,,,,,,,0.33,1.97,6.2,1.07,2.65,1280.0,1
,,,,,,,0.4,1.72,6.6,1.13,2.57,1130.0,1
,,,,,,,0.32,1.86,8.7,1.23,2.82,1680.0,1
,,,,,,,0.17,1.66,5.1,0.96,3.36,845.0,1
,,,,,,,0.24,2.1,5.65,1.09,3.71,780.0,1
,,,,,,,0.25,1.98,4.5,1.03,3.52,770.0,1
,,,,,,,0.27,1.69,3.8,1.11,4.0,1035.0,1
,,,,,,,0.26,1.46,3.93,1.09,3.63,1015.0,1
,,,,,,,0.28,1.66,3.52,1.12,3.82,845.0,1
,,,,,,,0.47,1.92,3.58,1.13,3.2,830.0,1
,,,,,,,0.34,1.45,4.8,0.92,3.22,1195.0,1
,,,,,,,0.27,1.35,3.95,1.02,2.77,1285.0,1
,,,,,,,0.37,1.76,4.5,1.25,3.4,915.0,1
,,,,,,,0.26,1.98,4.7,1.04,3.59,1035.0,1
,,,,,,,0.29,2.38,5.7,1.19,2.71,1285.0,1
,,,,,,,0.22,1.95,6.9,1.09,2.88,1515.0,1
,,,,,,,0.42,1.97,3.84,1.23,2.87,990.0,1
,,,,,,,0.5,1.35,5.4,1.25,3.0,1235.0,1
,,,,,,,0.29,1.54,4.2,1.1,2.87,1095.0,1
,,,,,,,0.26,1.86,5.1,1.04,3.47,920.0,1
,,,,,,,0.34,1.36,4.6,1.09,2.78,880.0,1
,,,,,,,0.29,1.44,4.25,1.12,2.51,1105.0,1
,,,,,,,0.28,1.37,3.7,1.18,2.69,1020.0,1
,,,,,,,0.2,2.08,5.1,0.89,3.53,760.0,1
,,,,,,,0.34,2.34,6.13,0.95,3.38,795.0,1
,,,,,,,0.27,1.48,4.28,0.91,3.0,1035.0,1
,,,,,,,0.17,1.7,5.43,0.88,3.56,1095.0,1
,,,,,,,0.32,1.66,4.36,0.82,3.0,680.0,1
,,,,,,,0.28,2.03,5.04,0.88,3.35,885.0,1
,,,,,,,0.3,1.25,5.24,0.87,3.33,1080.0,1
,,,,,,,0.27,2.19,4.9,1.04,3.44,1065.0,1
,,,,,,,0.21,2.14,6.1,0.91,3.33,985.0,1
,,,,,,,0.32,2.38,6.2,1.07,2.75,1060.0,1
,,,,,,,0.32,2.08,8.9,1.12,3.1,1260.0,1
,,,,,,,0.17,2.91,7.2,1.12,2.91,1150.0,1
,,,,,,,0.22,2.29,5.6,1.24,3.37,1265.0,1
,,,,,,,0.32,1.87,7.05,1.01,3.26,1190.0,1
,,,,,,,0.39,1.68,6.3,1.13,2.93,1375.0,1
,,,,,,,0.21,1.62,5.85,0.92,3.2,1060.0,1
,,,,,,,0.2,2.45,6.25,0.98,3.03,1120.0,1
,,,,,,,0.26,2.03,6.38,0.94,3.31,970.0,1
,,,,,,,0.31,1.66,6.0,1.07,2.84,1270.0,1
,,,,,,,0.19,2.04,6.8,0.89,2.87,1285.0,1
